"","dt","lm","dl","dt_years"
"368",0.00320510414711953,38.354,6.096,1.16986301369863
"369",0.00355038468755864,34.798,6.604,1.2958904109589
"370",0.00792644023268906,35.814,13.716,2.89315068493151
"371",0.000840683054982173,35.56,1.778,0.306849315068493
"372",0.000660536686057422,36.83,0,0.241095890410959
"373",0.000840683054982173,35.306,3.04799999999999,0.306849315068493
"374",0.0106361418652655,46.228,9.652,3.88219178082192
"375",0.000848189153687371,29.464,4.826,0.30958904109589
"376",0.000900731844623757,31.496,4.826,0.328767123287671
"377",0.0117770688684556,38.1,25.4,4.2986301369863
"378",0.00163632951773316,36.83,5.08000000000001,0.597260273972603
"379",0.00596734847063239,35.814,17.526,2.17808219178082
"380",0.000472884218427472,32.766,0.762,0.172602739726027
"381",0.00608744604991556,34.798,21.082,2.22191780821918
"382",0.000600487896415838,24.13,2.794,0.219178082191781
"383",0.000683054982173016,32.004,1.77800000000001,0.249315068493151
"384",0.00162882341902796,30.226,4.31799999999999,0.594520547945205
