date,length,month,year,month_year
1990-04-01,19,April,1990,Apr-90
1990-06-01,12,June,1990,Jun-90
1990-06-01,12,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,13,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,14,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,15,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,16,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,17,June,1990,Jun-90
1990-06-01,18,June,1990,Jun-90
1990-06-01,18,June,1990,Jun-90
1990-06-01,18,June,1990,Jun-90
1990-06-01,19,June,1990,Jun-90
1990-06-01,19,June,1990,Jun-90
1990-06-01,19,June,1990,Jun-90
1990-06-01,21,June,1990,Jun-90
1990-08-01,12,August,1990,Aug-90
1990-08-01,13,August,1990,Aug-90
1990-08-01,13,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,14,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,15,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,16,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,17,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,18,August,1990,Aug-90
1990-08-01,19,August,1990,Aug-90
1990-08-01,19,August,1990,Aug-90
1990-08-01,19,August,1990,Aug-90
1990-08-01,19,August,1990,Aug-90
1990-08-01,19,August,1990,Aug-90
